Description,Ticker,Ticker2
Lisk,LSKUSD,LSK
Monetha,MTHUSD,MTH
QLC,QLCUSD,QLC
Zcash,ZECUSD,ZEC
Kusama,KSMUSD,KSM
Hedera,HBARUSD,HBAR
Elamachain,ELAMAUSD,ELAMA
DigiDinar,DDRUSD,DDR
Utrust,UTKUSD,UTK
Cindicator,CNDUSD,CND
ModiHost,AIMUSD,AIM
IDNI,AGRSUSD,AGRS
Pillar,PLRUSD,PLR
Creditcoin,CTCUSD,CTC
PlayChip,PLAUSD,PLA
Viberate,VIBUSD,VIB
InsightProtocol,INXUSD,INX
Kadena,KDAUSD,KDA
FENIX,FNXUSD,FNX
Tutor's,TUDAUSD,TUDA
BiFi,BIFIUSD,BIFI
XRP,XRPUSD,XRP
PancakeSwap,CAKEUSD,CAKE
Augur,REPV2USD,REPV2
Btrips,BTRUSD,BTR
NEM,XEMUSD,XEM
RUNE,RUNEUSD,RUNE
Bitcoin,BCDUSD,BCD
CKB,CKBUSD,CKB
Plugin,PLIUSD,PLI
Vulcan,PYRUSD,PYR
Myriad,XMYUSD,XMY
Starchain,STCUSD,STC
HKC,HKCUSD,HKC
GNY,GNYUSD,GNY
IDEX,IDEXUSD,IDEX
GNO,GNOUSD,GNO
Hdac,HDACUSD,HDAC
Polymath,POLYUSD,POLY
Standard,STPTUSD,STPT
Playkey,PKTUSD,PKT
ArdCoin,ARDXUSD,ARDX
Levolution,LEVLUSD,LEVL
TWT,TWTUSD,TWT
Ontology,ONGUSD,ONG
The,GRTUSD,GRT
Kyber,KNCUSD,KNC
NKN,NKNUSD,NKN
Pantos,PANUSD,PAN
RAMP,RAMPUSD,RAMP
GoChain,GOUSD,GO
Injective,INJUSD,INJ
QuarkChain,QKCUSD,QKC
CAKE,CAKEUSD,CAKE
FOR,FORUSD,FOR
Aeternity,AEUSD,AE
Abyss,ABYSSUSD,ABYSS
Pixel,PXLUSD,PXL
BlockMesh,BMHUSD,BMH
SXP,SXPUSD,SXP
Metal,MTLUSD,MTL
SAND,SANDUSD,SAND
Symbol,XYMUSD,XYM
Moeda,MDAUSD,MDA
MDT,MDTUSD,MDT
TrueUSD,TUSDUSD,TUSD
ICON,ICXUSD,ICX
Zilliqa,ZILUSD,ZIL
DAR,DARUSD,DAR
Frax,FXSUSD,FXS
Pundi,PUNDIXUSD,PUNDIX
Coti,COTIUSD,COTI
DNA,DNAUSD,DNA
